file name,PR interval duration entropy,P wave duration entropy,QT interval duration entropy,T wave duration entropy,Heart rate,Mean duration or PR interval,Mean duration of P wave,Mean duration of QT interval,Mean duration of RR interval,Mean duration of T wave,Mean duration of QRS complex,Mean amplitude of P wave,Mean apmlitude of QRS complex,Mean amplitude of T wave,RR differences greater than 20 ms,RR differences greater than 50 ms,Root mean square of RR differences,Standard deviation for PR interval duration,Standard deviation for P wave duration,Standard deviation for QT interval duration,Standard deviation for RR differences,Standard deviation for RR interval duration,Standard deviation for T wave,Standard deviation for P wave amplitude,Standard deviation for QRS complex apmplitude,Standard Deviation for T wave amplitude,Standard Deviation for QRS complex duration,Mean aplitude of left segment,Mean amplitude of mid segment,Mean amplitude of right segment,Variance of amplitude of left segment,Variance of amplitude of mid segment,Variance of amplitude of right segment,Skew of amplitude of left segment,Skew of aplitude mid segment,Skew of amplitude right segment,Kurtosis of amplitude on left segment ,Kurtosis of amplitude on mid segment,Kurtosis of amplitude on right segment,Mean wavelet detail coeficient on left segment,Mean wavelet detail coeficient on mid segment,Mean wavelet detail coeficient on right segment,Mean kurtosis on wavelet detail coeficient on left seg.,Mean kurtosis on wavelet detail coeficient on mid seg.,Mean kurtosis on wavelet detail coeficient on right seg.,Mean skew on wavelet detail coeficient on left segment,Mean skew on wavelet detail coeficient on mid segment,Mean skew on wavelet detail coeficient on right segment,Mean std of wavelet detail coefficients from left seg,Mean std of wavelet detail coefficients from mid seg,Mean std of wavelet detail coefficients from right seg
bn_img_35,2.42008411813,2.41119785666,3.15723046801,3.21892016287,67,0.295833333333,0.484871794872,0.9828,0.947317073171,0.755555555556,0.514343434343,-0.0108461538462,-0.199257575758,0.033,0.375,0.375,0.67794173791,0.434500831095,0.539150353076,0.5452442307,0.677926802833,147.727537521,0.453059103694,0.0426945252369,0.550082516141,0.23765084878,0.418746312993,0.0574779411765,0.0591538461538,0.057644546148,0.000178190689879,0.00308542248521,0.00100117800039,0.767738683692,1.65468588328,-0.717810094279,1.02326543471,7.1010389022,2.83803995184,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_36,3.63477336756,3.56724716923,3.61231001479,3.71794377767,136,0.132195121951,0.166428571429,0.435724637681,0.441835205993,0.209782608696,0.209638554217,-0.0584880952381,-0.138993975904,-0.0738369565217,0.352272727273,0.193181818182,0.107698020578,0.0623418747945,0.11742923763,0.13186448732,0.107697960627,23.9545502402,0.10950570138,0.244588685058,0.385308376686,0.0947789220713,0.131303843598,0.0963987138264,0.042826946848,0.0547868020305,0.0504658796125,0.00190215793889,0.00821229972429,3.50005952101,0.527166523652,3.48012146277,11.0165438192,-0.42252308105,13.9950447042,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_37,2.91624134175,3.08357460937,2.7765659861,2.79028064494,80,0.178333333333,0.103181818182,0.539166666667,0.737592592593,0.285,0.231212121212,0.0134772727273,-0.237803030303,0.090675,0.452830188679,0.377358490566,0.34580808046,0.034753824003,0.0282927922564,0.35718945331,0.345806616324,65.1807789967,0.241593092249,0.0546928359262,0.463018291729,0.116862448524,0.236235655588,0.146673913043,0.185180156658,0.158629989213,0.00197959920089,0.00535313986734,0.00107662360982,-0.571443236217,1.04583286252,-0.528095536601,-0.201634705522,-0.452089171372,-0.481743718503,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_38,2.64467440572,2.6102528015,3.43751172262,3.4523522363,96,0.210416666667,0.179333333333,0.44019047619,0.623703703704,0.21787037037,0.1835,0.0183,0.2753,-0.0614861111111,0.306451612903,0.290322580645,0.226655597453,0.0486037692868,0.149513779868,0.161575463439,0.22656977995,51.7846919561,0.151074654054,0.0668492832173,0.763667397061,0.333243227115,0.142184576181,-0.0579616519174,-0.0526586826347,-0.0816941176471,0.0261553348126,0.0335827948797,0.0786969417301,-0.790141773552,0.266762088408,-0.520360418956,-0.839170938535,-0.574152450083,0.893241769373,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_39,3.43196338406,3.44279769421,3.4424180541,3.43373418482,72,0.126752136752,0.102894736842,0.604774774775,0.834609929078,0.373693693694,0.164042553191,0.0983026315789,-0.465765957447,0.0737432432432,0.304347826087,0.239130434783,0.0878376851767,0.0295694380945,0.0286149171075,0.0902067712864,0.0877568244608,18.6074260988,0.0907055553317,0.0963529380833,0.465470122119,0.0943051846918,0.0460338870464,0.403996969697,0.367644295302,0.423308880309,0.0045485848393,0.0189454801856,0.00223649764315,0.2728220171,0.280368205048,0.598429879978,-0.0936829627718,0.01595631536,2.09198468575,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_4,3.29447588277,3.42658039763,3.0119783825,3.02751369682,84,0.165402298851,0.162745098039,0.604027777778,0.713630952381,0.368666666667,0.230987654321,-0.0111617647059,0.252527777778,0.0689,0.509090909091,0.418181818182,0.364500488423,0.0665942928595,0.160972271773,0.291983921372,0.36444171425,77.22168385,0.293262112566,0.181600349855,0.59035179732,0.348775171135,0.203546366473,-0.334724489796,-0.33814375,-0.326121971596,0.0170680853186,0.0139317272526,0.00184801686896,8.21951330958,1.92872051875,1.5163444416,75.3011623762,12.0551147943,5.24638989798,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_40,2.63259640124,2.72111077898,2.97701227793,3.02881682765,67,0.319215686275,0.364901960784,0.838095238095,0.897286821705,0.582121212121,0.345691056911,0.0922058823529,-0.188451219512,-0.0844090909091,0.547619047619,0.47619047619,0.636148713105,0.31775669858,0.446152934955,0.478183922718,0.636139128397,112.559494514,0.390308794424,0.204246395232,0.815753458428,0.382728886846,0.338004060127,0.0523435897436,-0.0903925233645,0.0889536423841,0.0611448614333,0.0459400390718,0.0243046976302,0.679430705651,-0.234514784889,-0.966706124034,-0.15516712844,2.8498699055,1.32045239732,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_41,2.07944154168,1.85627012819,1.97984935375,2.05056819418,51,0.150833333333,0.0947619047619,0.435555555556,1.18565656566,0.232592592593,0.17119047619,0.0510714285714,0.341714285714,0.185277777778,0.40625,0.3125,0.381603433627,0.0539482776988,0.0443241001075,0.107186234605,0.38138122457,82.0083088357,0.117639098415,0.113534270651,0.609725134627,0.301153994486,0.0749243760836,-0.321974358974,-0.0684692307692,-0.25735618878,0.0187437301118,0.0478465105917,0.0134818624439,-0.0746342833675,0.519523228425,-0.0143799222714,-0.870987215029,-0.186640915486,-1.51361616576,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_42,2.00698121375,1.85627012819,1.49903067298,1.49903067298,125,0.179166666667,0.224285714286,0.582666666667,0.525066666667,0.315333333333,0.184444444444,-0.153785714286,-0.769125,-0.0387,0.364864864865,0.283783783784,0.31846997209,0.13192748429,0.278993168749,0.431933122395,0.318092773798,98.7367354804,0.298102145059,0.388400001576,0.475637735265,0.280637239154,0.110531823248,0.0861304347826,0.212701754386,0.107847826087,0.0324666568998,0.0208827823946,0.00899078119093,-2.30663483798,-1.01954307155,-1.35113814448,4.26784048519,0.234110618638,0.461441772219,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_44,2.23983707839,2.26352987314,2.72952935898,2.65254996171,61,0.150666666667,0.103333333333,0.898125,0.973902439024,0.513541666667,0.513157894737,0.0806,0.221210526316,-0.06990625,0.425,0.35,0.564202239154,0.0447412312948,0.0252542625665,0.466476105066,0.564182243753,111.23034821,0.395942035513,0.365908786448,0.628638091763,0.134577721358,0.483491775221,0.0967368421053,0.145341637011,-0.055124567474,0.146211943906,0.020981392181,0.0038880536871,-0.215875239266,0.660025795689,-0.594040100111,2.37748957512,0.481006332956,-0.650454229212,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
